days,count
1394496000,6
1394582400,12
1394668800,10
1394755200,5
1394841600,3
1394928000,38
1395014400,10
1395100800,6
1395187200,4
1395273600,18
1395360000,14
1395446400,50
1395532800,17
1395619200,5
1395705600,27
1395792000,16
1395878400,22
1395964800,8
1396051200,14
1396137600,7
1396224000,11
1396310400,6
1396396800,10
1396483200,12
1396569600,3
1396656000,17
1396742400,35
1396828800,10
1396915200,13
1397001600,8
1397088000,7
1397174400,10
1397260800,18
1397347200,30
1397433600,2
1397520000,30
1397606400,17
1397692800,7
1397779200,5
1397865600,15
1397952000,38
1398038400,42
1398124800,16
1398211200,2
1398297600,1
1398384000,3
1398470400,11
1398556800,5
1398643200,5
1398729600,14
1398816000,6
1398902400,14
1398988800,2
1399075200,11
1399161600,8
1399248000,24
1399334400,40
1399420800,10
1399507200,6
1399593600,14
1399680000,9
1399766400,2
1399852800,11
1399939200,10
1400025600,16
1400112000,10
1400198400,11
1400284800,1
1400371200,6
1400457600,6
1400544000,26
1400630400,13
1400716800,4
1400803200,9
1400889600,20
1400976000,27
1401062400,18
1401148800,10
1401235200,4
1401321600,12
1401408000,19
1401494400,22
1401580800,17
1401667200,10
1401753600,16
1401840000,2
1401926400,6
1402012800,12
1402099200,1
1402185600,10
1402272000,3
1402358400,6
1402444800,4
1402531200,21
1402617600,17
1402704000,21
1402790400,15
1402876800,17
1402963200,13
1403049600,6
1403136000,2
1403222400,21
1403308800,13
1403395200,21
1403481600,6
1403568000,3
1403654400,11
1403740800,24
1403827200,43
1403913600,42
1404000000,28
1404086400,33
1404172800,19
1404259200,6
1404345600,7
1404432000,12
1404518400,29
1404604800,11
1404691200,3
1404777600,8
1404864000,12
1404950400,30
1405036800,12
1405123200,14
1405209600,25
1405296000,11
1405382400,22
1405468800,6
1405555200,6
1405641600,19
1405728000,29
1405814400,29
1405900800,11
1405987200,22
1406073600,19
1406160000,9
1406246400,5
1406332800,22
1406419200,20
1406505600,13
1406592000,7
1406678400,10
1406764800,14
1406851200,12
1406937600,33
1407024000,24
1407110400,12
1407196800,57
1407283200,24
1407369600,34
1407456000,28
1407542400,10
1407628800,13
1407715200,9
1407801600,13
1407888000,23
1407974400,34
1408060800,23
1408147200,20
1408233600,17
1408406400,14
1408492800,18
1408579200,6
1408665600,8
1408752000,1
1408838400,1
1408924800,8
1409011200,12
1409097600,13
1409184000,21
1409270400,9
1409356800,31
1409443200,36
1409529600,3
1409616000,4
1409702400,11
1409788800,11
1409875200,11
1409961600,19
1410048000,9
1410134400,17
1410220800,18
1410307200,12
1410393600,8
1410480000,11
1410566400,6
1410652800,8
1410739200,4
1410825600,9
1410912000,13
1410998400,18
1411084800,5
1411257600,7
1411344000,2
1411430400,4
1411516800,3
1411603200,1
1411689600,10
1411776000,7
1411862400,5
1412035200,3
1412121600,10
1412208000,13
1412294400,8
1412380800,64
1412467200,29
1412553600,12
1412640000,4
1412726400,1
1412812800,1
1412899200,5
1412985600,19
1413072000,20
1413158400,2
1413244800,10
1413331200,8
1413417600,4
1413504000,16
1413590400,18
1413676800,30
1413763200,11
1413849600,23
1413936000,2
1414022400,12
1414108800,8
1414195200,13
1414281600,9
1414368000,13
1414454400,9
1414540800,27
1414627200,11
1414713600,15
1414800000,11
1414886400,31
1414972800,32
1415059200,17
1415145600,17
1415232000,30
1415318400,13
1415404800,29
1415491200,24
1415577600,35
1415664000,23
1415750400,33
1415836800,15
1415923200,27
1416009600,19
1416096000,22
1416182400,15
1416268800,3
1416355200,10
1416441600,7
1416528000,11
1416614400,6
1416700800,10
1416787200,5
1416873600,2
1417046400,8
1417132800,13
1417219200,21
1417305600,9
1417392000,24
1417478400,11
1417564800,8
1417651200,5
1417737600,15
1417824000,7
1417910400,52
1417996800,22
1418083200,6
1418169600,23
1418256000,30
1418342400,10
1418428800,5
1418515200,13
1418601600,30
1418688000,28
1418774400,14
1418860800,8
1418947200,17
1419033600,17
1419120000,11
1419206400,11
1419292800,9
1419379200,16
1419465600,18
1419552000,44
1419638400,22
1419724800,19
1419811200,32
1419897600,47
1419984000,17
1420070400,33
1420156800,78
1420243200,49
1420329600,33
1420416000,64
1420502400,40
1420588800,36
1420675200,45
1420761600,24
1420848000,102
1420934400,64
1421020800,54
1421107200,44
1421193600,28
1421280000,33
1421366400,24
1421452800,83
1421539200,97
1421625600,75
1421712000,10
1421798400,22
1421884800,24
1421971200,26
1422057600,22
1422144000,8
1422230400,13
1422316800,47
1422403200,25
1422489600,27
1422576000,21
1422662400,48
1422748800,38
1422835200,18
1422921600,32
1423008000,51
1423094400,9
1423180800,37
1423267200,53
1423353600,33
1423440000,38
1423526400,32
1423612800,24
1423699200,30
1423785600,24
1423872000,35
1423958400,51
1424044800,47
1424131200,44
1424217600,34
1424304000,43
1424390400,64
1424476800,53
1424563200,44
1424649600,41
1424736000,65
1424822400,32
1424908800,46
1424995200,66
1425081600,51
1425168000,60
1425254400,35
1425340800,46
1425427200,59
1425513600,49
1425600000,38
1425686400,56
1425772800,79
1425859200,37
1425945600,18
1426032000,17
1426118400,46
1426204800,32
1426291200,26
1426377600,37
1426464000,54
1426550400,68
1426636800,15
1426723200,6
1426809600,11
1426896000,44
1426982400,35
1427068800,22
1427155200,35
1427241600,44
1427328000,27
1427414400,38
1427500800,20
1427587200,15
1427673600,19
1427760000,23
1427846400,16
1427932800,11
1428019200,32
1428105600,32
1428192000,35
1428278400,30
1428364800,20
1428451200,23
1428537600,54
1428624000,66
1428710400,66
1428796800,49
1428883200,16
1428969600,9
1429056000,9
1429142400,3
1429228800,14
1429315200,7
1429401600,21
1429488000,14
1429574400,36
1429660800,28
1429747200,9
1429833600,40
1429920000,23
1430006400,38
1430092800,17
1430179200,10
1430265600,22
1430352000,40
1430438400,41
1430524800,46
1430611200,32
1430697600,40
1430784000,21
1430870400,49
1430956800,46
1431043200,14
1431129600,5
1431216000,14
1431302400,15
1431388800,37
1431475200,47
1431561600,20
1431648000,23
1431734400,34
1431820800,92
1431907200,30
1431993600,64
1432080000,45
1432166400,32
1432252800,34
1432339200,38
1432425600,37
1432512000,44
1432598400,76
1432684800,29
1432771200,57
1432857600,17
1432944000,25
1433030400,104
1433116800,55
1433203200,39
1433289600,69
1433376000,87
1433462400,57
1433548800,30
1433635200,60
1433721600,64
1433808000,61
1433894400,136
1433980800,28
1434067200,50
1434153600,35
1434240000,29
1434326400,50
1434412800,87
1434499200,108
1434585600,64
1434672000,37
1434758400,35
1434844800,48
1434931200,14
1435017600,28
1435104000,39
1435190400,45
1435276800,38
1435363200,7
1435449600,28
1435536000,16
1435622400,26
1435708800,40
1435795200,74
1435881600,28
1435968000,20
1436054400,17
1436140800,30
1436227200,35
1436313600,46
1436400000,46
1436486400,56
1436572800,42
1436659200,34
1436745600,36
1436832000,22
1436918400,19
1437004800,26
1437091200,38
1437177600,23
1437264000,8
1437350400,27
1437436800,41
1437523200,12
1437609600,18
1437696000,24
1437782400,31
1437868800,22
1437955200,31
1438041600,10
1438128000,16
1438214400,22
1438300800,16
1438387200,11
1438473600,49
1438560000,26
1438646400,28
1438732800,11
1438819200,6
1438905600,17
1438992000,7
1439078400,40
1439164800,5
1439251200,5
1439337600,29
1439424000,23
1439510400,30
1439596800,14
1439683200,14
1439769600,41
1439856000,34
1439942400,27
1440028800,51
1440115200,47
1440201600,37
1440288000,46
1440374400,30
1440460800,30
1440547200,66
1440633600,48
1440720000,32
1440806400,18
1440892800,20
1440979200,42
1441065600,31
1441152000,10
1441238400,25
1441324800,33
1441411200,38
1441497600,34
1441584000,52
1441670400,55
1441756800,44
1441843200,53
1441929600,25
1442016000,27
1442102400,41
1442188800,40
1442275200,48
1442361600,47
1442448000,40
1442534400,46
1442620800,18
1442707200,46
1442793600,59
1442880000,41
1442966400,61
1443052800,42
1443139200,82
1443225600,11
1443312000,24
1443398400,64
1443484800,63
1443571200,51
1443657600,37
1443744000,22
1443830400,32
1443916800,31
1444003200,23
1444089600,43
1444176000,53
1444262400,25
1444348800,13
1444435200,19
1444521600,8
1444608000,26
1444694400,20
1444780800,27
1444867200,31
1444953600,30
1445040000,22
1445126400,7
1445212800,25
1445299200,20
1445385600,24
1445472000,35
1445558400,9
1445644800,5
1445731200,18
1445817600,13
1445904000,20
1445990400,19
1446076800,13
1446163200,32
1446249600,7
1446336000,9
1446422400,10
1446508800,18
1446595200,16
1446681600,26
1446768000,17
1446854400,37
1446940800,38
1447027200,25
1447113600,33
1447200000,16
1447286400,34
1447372800,61
1447459200,20
1447545600,35
1447632000,10
1447718400,28
1447804800,52
1447891200,25
1447977600,26
1448064000,24
1448150400,23
1448236800,66
1448323200,43
1448409600,28
1448496000,49
1448582400,17
1448668800,35
1448755200,38
1448841600,57
1448928000,76
1449014400,22
1449100800,37
1449187200,12
1449273600,16
1449360000,12
1449446400,31
1449532800,25
1449619200,32
1449705600,30
1449792000,24
1449878400,15
1449964800,40
1450051200,51
1450137600,41
1450224000,30
1450310400,22
1450396800,19
1450483200,9
1450569600,10
1450656000,46
1450742400,46
1450828800,44
1450915200,31
1451001600,7
1451088000,52
1451174400,29
1451260800,72
1451347200,99
1451433600,99
1451520000,33
1451606400,30
1451692800,49
1451779200,20
1451865600,59
1451952000,57
1452038400,38
1452124800,39
1452211200,32
1452297600,10
1452384000,29
1452470400,36
1452556800,32
1452643200,42
1452729600,34
1452816000,11
1452902400,31
1452988800,43
1453075200,57
1453161600,57
1453248000,23
1453334400,31
1453420800,31
1453507200,35
1453593600,59
1453680000,27
1453766400,50
1453852800,35
1453939200,45
1454025600,40
1454112000,62
1454198400,34
1454284800,22
1454371200,31
1454457600,33
1454544000,64
1454630400,43
1454716800,76
1454803200,36
1454889600,29
1454976000,26
1455062400,56
1455148800,31
1455235200,32
1455321600,13
1455408000,19
1455494400,83
1455580800,54
1455667200,35
1455753600,33
1455840000,23
1455926400,51
1456012800,24
1456099200,32
1456185600,52
1456272000,50
1456358400,48
1456444800,34
1456531200,8
1456617600,20
1456704000,33
1456790400,36
1456876800,39
1456963200,25
1457049600,39
1457136000,32
1457222400,17
1457308800,54
1457395200,33
1457481600,37
1457568000,58
1457654400,42
1457740800,17
1457827200,7
1457913600,34
1458000000,45
1458086400,44
1458172800,26
1458259200,34
1458345600,16
1458432000,36
1458518400,21
1458604800,17
1458691200,40
1458777600,16
1458864000,60
1458950400,35
1459036800,34
1459123200,31
1459209600,59
1459296000,22
1459382400,41
1459468800,29
1459555200,30
1459641600,22
1459728000,52
1459814400,77
1459900800,37
1459987200,37
1460073600,46
1460160000,15
1460246400,18
1460332800,30
1460419200,66
1460505600,48
1460592000,61
1460678400,27
1460764800,12
1460851200,6
1460937600,13
1461024000,32
1461110400,22
1461196800,16
1461283200,12
1461369600,20
1461456000,17
1461542400,24
1461628800,22
1461715200,13
1461801600,13
1461888000,39
1461974400,14
1462060800,6
1462147200,14
1462233600,37
1462320000,19
1462406400,6
1462492800,10
1462579200,10
1462665600,21
1462752000,10
1462838400,32
1462924800,44
1463011200,23
1463097600,61
1463184000,15
1463270400,19
1463356800,27
1463443200,18
1463529600,32
1463616000,29
1463702400,37
1463788800,46
1463875200,37
1463961600,34
1464048000,29
1464134400,46
1464220800,157
1464307200,60
1464393600,28
1464480000,30
1464566400,35
1464652800,67
1464739200,41
1464825600,55
1464912000,46
1464998400,26
1465084800,33
1465171200,63
1465257600,46
1465344000,99
1465430400,26
1465516800,21
1465603200,43
1465689600,17
1465776000,32
1465862400,32
1465948800,50
1466035200,44
1466121600,31
1466208000,15
1466294400,25
1466380800,16
1466467200,29
1466553600,39
1466640000,22
1466726400,30
1466812800,12
1466899200,32
1466985600,89
1467072000,50
1467158400,13
1467244800,19
1467331200,25
1467417600,26
1467504000,14
1467590400,28
1467676800,34
1467763200,41
1467849600,36
1467936000,32
1468022400,17
1468108800,7
1468195200,33
1468281600,29
1468368000,19
1468454400,39
1468540800,38
1468627200,17
1468713600,17
1468800000,31
1468886400,30
1468972800,43
1469059200,35
1469145600,24
1469232000,26
1469318400,22
1469404800,28
1469491200,14
1469577600,18
1469664000,30
1469750400,36
1469836800,36
1469923200,30
1470009600,21
1470096000,52
1470182400,35
1470268800,24
1470355200,52
1470441600,14
1470528000,8
1470614400,41
1470700800,35
1470787200,37
1470873600,38
1470960000,38
1471046400,45
1471132800,55
1471219200,54
1471305600,22
1471392000,38
1471478400,16
1471564800,30
1471651200,40
1471737600,26
1471824000,28
1471910400,51
1471996800,43
1472083200,48
1472169600,34
1472256000,26
1472342400,8
1472428800,39
1472515200,54
1472601600,38
1472688000,43
1472774400,24
1472860800,55
1472947200,25
1473033600,28
1473120000,31
1473206400,39
1473292800,47
1473379200,38
1473465600,25
1473552000,28
1473638400,31
1473724800,79
1473811200,39
1473897600,60
1473984000,28
1474070400,64
1474156800,45
1474243200,69
1474329600,46
1474416000,44
1474502400,36
1474588800,20
1474675200,45
1474761600,28
1474848000,19
1474934400,26
1475020800,29
1475107200,16
1475193600,26
1475280000,30
1475366400,10
1475452800,11
1475539200,32
1475625600,20
1475712000,22
1475798400,29
1475884800,39
1475971200,42
1476057600,27
1476144000,23
1476230400,27
1476316800,26
1476403200,15
1476489600,42
1476576000,19
1476662400,5
1476748800,14
1476835200,11
1476921600,50
1477008000,63
1477094400,43
1477180800,54
1477267200,65
1477353600,38
1477440000,22
1477526400,40
1477612800,24
1477699200,17
1477785600,27
1477872000,51
1477958400,36
1478044800,9
1478131200,16
1478217600,13
1478304000,24
1478390400,46
1478476800,31
1478563200,29
1478649600,16
1478736000,31
1478822400,24
1478908800,30
1478995200,4
1479081600,23
1479168000,22
1479254400,16
1479340800,21
1479427200,28
1479513600,20
1479600000,35
1479686400,26
1479772800,28
1479859200,15
1479945600,44
1480032000,43
1480118400,20
1480204800,44
1480291200,35
1480377600,23
1480464000,41
1480550400,17
1480636800,20
1480723200,26
1480809600,43
1480896000,30
1480982400,34
1481068800,9
1481155200,28
1481241600,15
1481328000,21
1481414400,7
1481500800,16
1481587200,17
1481673600,21
1481760000,31
1481846400,31
1481932800,48
1482019200,26
1482105600,32
1482192000,42
1482278400,40
1482364800,47
1482451200,45
1482537600,27
1482624000,6
1482710400,27
1482796800,33
1482883200,32
1482969600,45
1483056000,24
1483142400,17
1483228800,11
1483315200,45
1483401600,38
1483488000,22
1483574400,16
1483660800,34
1483747200,47
1483833600,57
1483920000,28
1484006400,120
1484092800,38
1484179200,35
1484265600,23
1484352000,13
1484438400,24
1484524800,56
1484611200,25
1484697600,38
1484784000,30
1484870400,58
1484956800,27
1485043200,40
1485129600,31
1485216000,28
1485302400,13
1485388800,44
1485475200,54
1485561600,46
1485648000,44
1485734400,25
1485820800,38
1485907200,32
1485993600,25
1486080000,47
1486166400,15
1486252800,33
1486339200,50
1486425600,41
1486512000,39
1486598400,52
1486684800,48
1486771200,42
1486857600,26
1486944000,42
1487030400,61
1487116800,34
1487203200,84
1487289600,84
1487376000,54
1487462400,35
1487548800,73
1487635200,23
1487721600,23
1487808000,36
1487894400,56
1487980800,51
1488067200,52
1488153600,29
1488240000,51
1488326400,68
1488412800,38
1488499200,45
1488585600,37
1488672000,53
1488758400,55
1488844800,51
1488931200,52
1489017600,33
1489104000,39
1489190400,52
1489276800,48
1489363200,62
1489449600,77
1489536000,30
1489622400,47
1489708800,26
1489795200,34
1489881600,55
1489968000,31
1490054400,71
1490140800,58
1490227200,50
1490313600,94
1490400000,65
1490486400,61
1490572800,40
1490659200,30
1490745600,76
1490832000,66
1490918400,66
1491004800,38
1491091200,57
1491177600,29
1491264000,27
1491350400,65
1491436800,27
1491523200,67
1491609600,38
1491696000,29
1491782400,27
1491868800,29
1491955200,22
1492041600,36
1492128000,45
1492214400,47
1492300800,44
1492387200,31
1492473600,29
1492560000,39
1492646400,43
1492732800,33
1492819200,27
1492905600,30
1492992000,32
1493078400,42
1493164800,36
1493251200,16
1493337600,35
1493424000,7
1493510400,30
1493596800,27
1493683200,26
1493769600,36
1493856000,36
1493942400,45
1494028800,25
1494115200,15
1494201600,72
1494288000,37
1494374400,45
1494460800,23
1494547200,44
1494633600,27
1494720000,14
1494806400,39
1494892800,57
1494979200,76
1495065600,49
1495152000,43
1495238400,25
1495324800,45
1495411200,30
1495497600,100
1495584000,54
1495670400,85
1495756800,57
1495843200,52
1495929600,24
1496016000,42
1496102400,48
1496188800,35
1496275200,35
1496361600,35
1496448000,11
1496534400,37
1496620800,103
1496707200,69
1496793600,46
1496880000,35
1496966400,59
1497052800,39
1497139200,37
1497225600,38
1497312000,44
1497398400,33
1497484800,55
1497571200,48
1497657600,43
1497744000,50
1497830400,17
1497916800,63
1498003200,25
1498089600,22
1498176000,5
1498262400,21
1498348800,16
1498435200,30
1498521600,21
1498608000,23
1498694400,29
1498780800,27
1498867200,41
1498953600,34
1499040000,50
1499126400,24
1499212800,46
1499299200,37
1499385600,18
1499472000,56
1499558400,34
1499644800,31
1499731200,25
1499817600,41
1499904000,32
1499990400,28
1500076800,35
1500163200,41
1500249600,34
1500336000,26
1500422400,13
1500508800,21
1500595200,64
1500681600,28
1500768000,61
1500854400,40
1500940800,43
1501027200,63
1501113600,39
1501200000,35
1501286400,38
1501372800,62
1501459200,78
1501545600,41
1501632000,26
1501718400,44
1501804800,49
1501891200,33
1501977600,41
1502064000,33
1502150400,46
1502236800,75
1502323200,57
1502409600,46
1502496000,38
1502582400,54
1502668800,54
1502755200,66
1502841600,58
1502928000,51
