pos_y,ecc,hits,rms_trans,pos_x
6.333,1.816,46,0.989,4.022
5.829,3.626,133,0.8859,3.724
7.942,2.015,123,0.9982,3.046
8.535,1.901,525,0.3258,1.868
3.757,1.55,263,1.701,3.718
11.55,5.287,59,0.6693,7.575
1.44,1.443,42,0.5555,10.62
3.508,4.147,189,0.6704,7.583
10.54,2.155,104,1.178,6.465
8.432,1.748,1583,1.697,6.045
2.064,7.505,66,0.2964,4.434
5.134,2.946,115,1.004,6.682
2.582,1.932,38,0.5633,12.63
12.69,3.992,8,0.4454,9.866
5.8,2.63,116,0.3151,3.108
3.877,1.465,769,0.7654,2.149
9.053,3.062,234,0.9795,8.125
3.965,4.743,167,0.4999,7.174
6.781,4.333,263,0.6036,4.349
2.785,1.935,77,0.8531,3.614
2.478,2.808,126,0.7626,7.969
7.873,1.246,173,2.861,5.818
4.127,5.205,366,0.65,11.55
1.842,1.266,143,0.7925,7.953
9.277,3.31,140,0.9498,7.243
10.55,4.419,144,0.8648,7.364
2.131,2.454,99,0.8743,3.807
2.917,4.576,24,0.3102,1.641
2.949,4.889,129,0.829,6.528
2.234,1.342,16,1.012,11.4
11.35,7.191,58,0.4521,9.962
12.32,4.658,17,0.159,2.558
11.92,3.663,44,0.9626,7.565
3.356,6.016,59,0.4823,8.484
11.68,2.844,4096,1.409,7.632
6.209,6.81,154,0.6793,5.901
3.684,2.455,94,1.067,4.112
2.505,3.568,109,0.5615,10.13
9.188,2.499,128,1.021,8.776
10.45,2.158,72,0.8473,3.411
1.228,1.957,149,0.6567,3.006
1.604,1.278,76,0.4657,8.967
11.53,5.783,97,0.7141,7.428
4.775,9.97,95,0.3631,6.693
4.418,1.707,139,1.924,5.071
12.46,3.127,113,0.3916,9.462
9.555,1.471,111,1.12,3.571
12.83,1.562,15,0.4509,2.297
3.747,2.066,402,0.9778,5.812
2.254,1.957,42,0.8075,2.941
12.64,3.168,32,0.3581,3.603
7.615,1.472,187,3.022,6.544
10.47,3.444,89,0.9266,7.372
4.619,14.06,45,0.2885,8.4
12.76,4.001,43,0.3458,3.696
3.188,3.779,134,0.9117,7.273
11.73,2.488,69,0.8987,3.506
11.28,3.372,87,0.8754,5.285
9.475,2.374,140,1.646,8.571
4.389,6.012,89,0.5881,5.498
8.375,4.501,52,0.6717,3.732
8.402,6.604,125,0.4266,7.703
10.2,4.101,136,0.7429,5.81
7.214,7.875,119,0.4509,9.293
10.76,7.017,115,0.4158,8.355
10.7,3.073,66,1.011,6.682
8.312,6.835,85,0.5747,8.685
8.543,5.44,108,0.6565,5.918
8.489,3.571,102,0.9803,6.776
10.22,4.953,544,0.654,7.062
12.37,6.328,43,0.4658,6.221
7.947,6.105,213,0.8668,6.672
11.35,1.286,32,1.114,2.815
10.83,1.879,27,0.7723,12.22
5.319,6.122,139,0.8527,7.014
3.665,4.397,251,0.8538,6.499
6.868,6.539,48,0.5025,8.855
3.327,4.007,111,1.019,6.826
2.083,1.255,63,0.9496,5.026
1.159,2.161,110,0.5416,3.714
11.2,1.566,35,0.6575,2.089
12.2,3.933,71,0.6628,10.65
3.032,1.993,84,0.7704,12.31
1.727,3.365,41,0.5812,10.41
7.413,3.949,90,0.9449,7.903
5.664,3.53,237,0.9672,7.217
7,5.818,215,0.5595,9.244
4.672,4.756,171,0.7749,7.295
1.216,6.557,34,0.4705,8.294
7.515,2.639,578,1.274,9.164
10.1,3.058,165,0.906,11.19
10.1,3.59,215,0.7581,5.353
4.359,5.543,167,0.7676,5.229
1.612,2.332,22,0.5365,11.34
12.4,11.79,17,0.1176,7.307
10.46,3.608,42,0.6141,3.832
9.195,3.257,117,1.072,4.897
3.015,1.908,74,1.08,2.94
4.686,5.999,72,0.6353,9.283
12.32,4.073,7,0.3984,3.265
2.746,4.96,79,0.7938,7.241
6.637,4.447,133,0.6574,4.519
2.398,2.322,62,0.9153,5.243
3.92,3.36,277,0.9174,7.113
1.036,1.601,33,0.3756,1.504
10.29,2.402,236,1.02,7.723
5.375,21.8,226,0.25,7.937
11.46,2.638,68,0.6716,9.627
2.172,7.832,145,0.3927,8.253
4.04,3.555,250,0.9441,6.974
1.274,2.199,12,0.2318,1.641
3.408,1.77,70,0.8048,3.01
12.66,1.335,86,0.5026,12.47
7.742,2.239,140,1.578,7.317
4.312,6.4,188,0.6661,6.328
1.822,1.702,71,0.8044,10.02
6.005,3.645,147,0.859,7.929
10.67,3.539,54,0.8833,4.752
6.435,2.239,275,1.934,7.09
0.8525,7.356,8,0.3477,4.943
2.825,1.531,49,0.9066,11.87
11.06,1.986,103,0.9737,9.616
1.63,7.475,90,0.5367,5.524
11,1.078,50,0.8781,2.542
8.573,3.262,164,0.932,7.095
2.684,2.436,50,0.3642,2.489
2.998,3.818,8,0.134,0.9281
10.02,2.237,130,0.7074,12.22
9.755,4.95,199,0.6878,8.053
2.419,2.23,78,1.084,4.346
7.368,1.097,268,3.989,7.785
11.44,2.568,4095,1.159,4.961
12.64,1.473,18,0.2586,12.71
10.36,4.048,122,1.063,7.488
12.74,3.348,9,0.3522,4.134
1.548,2.239,78,0.6405,4.812
9.833,10.05,91,0.3823,7.182
7.722,2.233,218,1.729,7.459
12.23,2.058,124,0.69,3.535
7.842,5.643,146,0.6072,9.746
4.503,1.124,375,3.379,8.194
9.696,4.954,1168,0.8815,9.513
5.627,9.172,100,0.3499,6.465
6.189,7.803,198,0.555,9.806
5.705,3.846,110,0.8973,7.609
6.59,3.029,194,1.112,5.28
6.445,6.203,245,0.7813,7.102
4.99,9.512,240,0.3712,8.14
5.687,5.04,179,0.7276,7.087
8.583,4.086,111,0.9632,10.24
10.19,5.368,43,0.3908,10.35
12.7,1.207,9,0.2519,12.89
7.001,5.625,157,0.829,5.841
